k,gain,policy_samples
3,2.0588936890535683,2
3,2.0588936890535683,3
3,2.0588936890535683,4
3,2.0588936890535683,5
3,2.0588936890535683,6
3,2.0588936890535683,7
3,2.0588936890535683,8
3,2.0588936890535683,9
3,3.6438561897747244,0
3,2.6438561897747244,1
3,2.6438561897747244,2
3,2.6438561897747244,3
3,2.6438561897747244,4
3,2.321928094887362,5
3,2.321928094887362,6
3,2.321928094887362,7
3,2.321928094887362,8
3,2.321928094887362,9
3,1.4739311883324122,0
3,1.0588936890535683,1
3,1.0588936890535683,2
3,1.0588936890535683,3
3,1.0588936890535683,4
3,1.0588936890535683,5
3,1.0588936890535683,6
3,1.0588936890535683,7
3,1.0588936890535683,8
3,1.0588936890535683,9
3,1.6438561897747244,0
3,1.4739311883324122,1
3,1.4739311883324122,2
3,1.4739311883324122,3
3,1.4739311883324122,4
3,1.4739311883324122,5
3,1.4739311883324122,6
3,1.4739311883324122,7
3,1.4739311883324122,8
3,1.4739311883324122,9
3,2.321928094887362,0
3,1.6438561897747244,1
3,1.6438561897747244,2
3,1.6438561897747244,3
3,1.6438561897747244,4
3,1.6438561897747244,5
3,1.6438561897747244,6
3,1.4739311883324122,7
3,1.4739311883324122,8
3,1.4739311883324122,9
3,0.0,0
3,0.0,1
3,0.0,2
3,0.0,3
3,0.0,4
3,0.0,5
3,0.0,6
3,0.0,7
3,0.0,8
3,0.0,9
3,3.0588936890535683,0
3,2.6438561897747244,1
3,2.6438561897747244,2
3,2.6438561897747244,3
3,2.6438561897747244,4
3,2.6438561897747244,5
3,2.6438561897747244,6
3,2.6438561897747244,7
3,2.6438561897747244,8
3,2.6438561897747244,9
3,0.0,0
3,4.643856189774724,1
3,4.643856189774724,2
3,4.643856189774724,3
3,4.643856189774724,4
3,3.6438561897747244,5
3,3.6438561897747244,6
3,3.0588936890535683,7
3,3.0588936890535683,8
3,3.0588936890535683,9
3,1.0588936890535683,0
3,1.0588936890535683,1
3,1.0588936890535683,2
3,1.0588936890535683,3
3,1.0588936890535683,4
3,1.0588936890535683,5
3,1.0588936890535683,6
3,1.0588936890535683,7
3,1.0588936890535683,8
3,1.0588936890535683,9
3,2.6438561897747244,0
3,2.321928094887362,1
3,2.0588936890535683,2
3,2.0588936890535683,3
3,1.6438561897747244,4
3,1.4739311883324122,5
3,1.4739311883324122,6
3,1.4739311883324122,7
3,1.4739311883324122,8
3,1.4739311883324122,9
4,2.6438561897747244,0
4,2.0588936890535683,1
4,2.0588936890535683,2
4,2.0588936890535683,3
4,2.0588936890535683,4
4,2.0588936890535683,5
4,2.0588936890535683,6
4,2.0588936890535683,7
4,2.0588936890535683,8
4,2.0588936890535683,9
4,3.6438561897747244,0
4,2.6438561897747244,1
4,2.6438561897747244,2
4,2.6438561897747244,3
4,2.6438561897747244,4
4,2.321928094887362,5
4,2.321928094887362,6
4,2.321928094887362,7
4,2.321928094887362,8
4,2.321928094887362,9
4,1.8365012677171202,0
4,1.6438561897747244,1
4,1.6438561897747244,2
4,1.4739311883324122,3
4,1.4739311883324122,4
4,1.4739311883324122,5
4,1.4739311883324122,6
4,1.4739311883324122,7
4,1.4739311883324122,8
4,1.4739311883324122,9
4,3.6438561897747244,0
4,2.6438561897747244,1
4,2.6438561897747244,2
4,2.6438561897747244,3
4,2.6438561897747244,4
4,2.321928094887362,5
4,2.321928094887362,6
4,2.321928094887362,7
4,2.321928094887362,8
4,2.321928094887362,9
4,4.643856189774724,0
4,3.6438561897747244,1
4,3.6438561897747244,2
4,3.6438561897747244,3
4,3.6438561897747244,4
4,3.6438561897747244,5
4,3.6438561897747244,6
4,3.6438561897747244,7
4,3.6438561897747244,8
4,3.6438561897747244,9
4,0.0,0
4,0.0,1
4,0.0,2
4,0.0,3
4,0.0,4
4,0.0,5
4,0.0,6
4,0.0,7
4,0.0,8
4,0.0,9
4,3.0588936890535683,0
4,2.6438561897747244,1
4,2.6438561897747244,2
4,2.6438561897747244,3
4,2.6438561897747244,4
4,2.6438561897747244,5
4,2.6438561897747244,6
4,2.6438561897747244,7
4,2.6438561897747244,8
4,2.6438561897747244,9
4,0.0,0
4,0.0,1
4,0.0,2
4,0.0,3
4,0.0,4
4,0.0,5
4,0.0,6
4,0.0,7
4,0.0,8
4,0.0,9
4,3.6438561897747244,0
4,2.6438561897747244,1
4,2.6438561897747244,2
4,2.6438561897747244,3
4,2.6438561897747244,4
4,2.321928094887362,5
4,2.321928094887362,6
4,2.0588936890535683,7
4,2.0588936890535683,8
4,2.0588936890535683,9
4,4.643856189774724,0
4,4.643856189774724,1
4,3.6438561897747244,2
4,3.6438561897747244,3
4,3.0588936890535683,4
4,3.0588936890535683,5
4,2.6438561897747244,6
4,2.6438561897747244,7
4,2.6438561897747244,8
4,2.6438561897747244,9
5,3.0588936890535683,0
5,2.6438561897747244,1
5,2.6438561897747244,2
5,2.6438561897747244,3
5,2.6438561897747244,4
5,2.6438561897747244,5
5,2.6438561897747244,6
5,2.6438561897747244,7
5,2.6438561897747244,8
5,2.6438561897747244,9
5,3.6438561897747244,0
5,2.6438561897747244,1
5,2.6438561897747244,2
5,2.6438561897747244,3
5,2.6438561897747244,4
5,2.321928094887362,5
5,2.321928094887362,6
5,2.321928094887362,7
5,2.321928094887362,8
5,2.321928094887362,9
5,4.643856189774724,0
5,4.643856189774724,1
5,4.643856189774724,2
5,4.643856189774724,3
5,4.643856189774724,4
5,4.643856189774724,5
5,4.643856189774724,6
5,4.643856189774724,7
5,4.643856189774724,8
5,4.643856189774724,9
5,4.643856189774724,0
5,3.6438561897747244,1
5,3.6438561897747244,2
5,3.6438561897747244,3
5,3.6438561897747244,4
5,3.0588936890535683,5
5,3.0588936890535683,6
5,3.0588936890535683,7
5,3.0588936890535683,8
5,3.0588936890535683,9
5,4.643856189774724,0
5,3.6438561897747244,1
5,3.6438561897747244,2
5,3.6438561897747244,3
5,3.6438561897747244,4
5,3.6438561897747244,5
5,3.6438561897747244,6
5,3.6438561897747244,7
5,3.6438561897747244,8
5,3.6438561897747244,9
5,0.0,0
5,0.0,1
5,0.0,2
5,0.0,3
5,0.0,4
5,0.0,5
5,0.0,6
5,0.0,7
5,0.0,8
5,0.0,9
5,3.6438561897747244,0
5,3.6438561897747244,1
