k,gain
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,4.643856189774724
12,3.6438561897747244
12,4.643856189774724
12,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,3.6438561897747244
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
13,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,4.643856189774724
14,3.6438561897747244
14,4.643856189774724
14,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
15,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
16,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
17,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
18,4.643856189774724
