k,gain,policy_samples,true_goal_in_possible
1,0.7369655941662057,2,True
1,0.7369655941662057,3,True
1,0.7369655941662057,4,True
1,0.7369655941662057,5,True
1,0.7369655941662057,6,True
1,0.7369655941662057,7,True
1,0.7369655941662057,8,True
1,0.7369655941662057,9,True
1,0.7369655941662057,10,True
1,0.7369655941662057,11,True
1,0.7369655941662057,12,True
1,0.7369655941662057,13,True
1,0.7369655941662057,14,True
1,0.7369655941662057,15,True
1,0.7369655941662057,16,True
1,0.7369655941662057,17,True
1,0.7369655941662057,18,True
1,0.7369655941662057,19,True
1,0.7369655941662057,20,True
1,0.7369655941662057,21,True
1,0.7369655941662057,22,True
