k,gain,policy_samples
2,0.7369655941662057,2
2,0.7369655941662057,3
2,0.7369655941662057,4
2,0.7369655941662057,5
2,0.7369655941662057,6
2,0.7369655941662057,7
2,0.7369655941662057,8
2,0.7369655941662057,9
2,0.7369655941662057,10
2,0.7369655941662057,11
2,0.7369655941662057,12
2,0.7369655941662057,13
2,0.7369655941662057,14
2,0.7369655941662057,15
2,0.7369655941662057,16
2,0.7369655941662057,17
2,0.7369655941662057,18
2,0.7369655941662057,19
2,0.7369655941662057,20
2,0.7369655941662057,21
2,0.7369655941662057,22
2,0.7369655941662057,23
2,0.7369655941662057,24
2,3.6438561897747244,0
2,2.6438561897747244,1
2,2.6438561897747244,2
2,2.6438561897747244,3
2,2.6438561897747244,4
2,2.321928094887362,5
2,2.321928094887362,6
2,2.321928094887362,7
2,2.321928094887362,8
2,2.321928094887362,9
2,2.321928094887362,10
2,2.321928094887362,11
2,2.321928094887362,12
2,2.321928094887362,13
2,2.321928094887362,14
2,2.321928094887362,15
2,2.321928094887362,16
2,2.321928094887362,17
2,2.321928094887362,18
2,2.321928094887362,19
2,2.321928094887362,20
2,2.321928094887362,21
2,2.321928094887362,22
2,2.321928094887362,23
2,2.321928094887362,24
2,1.4739311883324122,0
2,1.0588936890535683,1
2,1.0588936890535683,2
2,1.0588936890535683,3
2,1.0588936890535683,4
2,1.0588936890535683,5
2,1.0588936890535683,6
2,1.0588936890535683,7
2,1.0588936890535683,8
2,1.0588936890535683,9
2,1.0588936890535683,10
2,1.0588936890535683,11
2,1.0588936890535683,12
2,1.0588936890535683,13
2,1.0588936890535683,14
2,1.0588936890535683,15
2,1.0588936890535683,16
2,1.0588936890535683,17
2,1.0588936890535683,18
2,1.0588936890535683,19
2,1.0588936890535683,20
2,1.0588936890535683,21
2,1.0588936890535683,22
2,1.0588936890535683,23
2,1.0588936890535683,24
2,1.6438561897747244,0
2,1.4739311883324122,1
2,1.4739311883324122,2
2,1.4739311883324122,3
2,1.4739311883324122,4
2,1.4739311883324122,5
2,1.4739311883324122,6
2,1.4739311883324122,7
2,1.4739311883324122,8
2,1.4739311883324122,9
2,1.4739311883324122,10
2,1.4739311883324122,11
2,1.4739311883324122,12
2,1.4739311883324122,13
2,1.4739311883324122,14
2,1.4739311883324122,15
2,1.4739311883324122,16
2,1.4739311883324122,17
2,1.4739311883324122,18
2,1.4739311883324122,19
2,1.4739311883324122,20
2,1.4739311883324122,21
2,1.4739311883324122,22
2,1.4739311883324122,23
2,1.4739311883324122,24
2,1.3219280948873622,0
2,1.0588936890535683,1
2,1.0588936890535683,2
2,1.0588936890535683,3
2,1.0588936890535683,4
2,1.0588936890535683,5
2,1.0588936890535683,6
2,1.0588936890535683,7
2,1.0588936890535683,8
2,1.0588936890535683,9
2,1.0588936890535683,10
2,1.0588936890535683,11
2,1.0588936890535683,12
2,1.0588936890535683,13
2,1.0588936890535683,14
2,1.0588936890535683,15
2,1.0588936890535683,16
2,1.0588936890535683,17
2,1.0588936890535683,18
2,1.0588936890535683,19
2,1.0588936890535683,20
2,1.0588936890535683,21
2,1.0588936890535683,22
2,1.0588936890535683,23
2,1.0588936890535683,24
2,4.643856189774724,0
2,4.643856189774724,1
2,3.6438561897747244,2
2,3.6438561897747244,3
2,3.0588936890535683,4
2,3.0588936890535683,5
2,2.6438561897747244,6
2,2.6438561897747244,7
2,2.6438561897747244,8
2,2.6438561897747244,9
2,2.6438561897747244,10
2,2.6438561897747244,11
2,2.6438561897747244,12
2,2.6438561897747244,13
2,2.6438561897747244,14
2,2.6438561897747244,15
2,2.6438561897747244,16
2,2.6438561897747244,17
2,2.6438561897747244,18
2,2.6438561897747244,19
2,2.6438561897747244,20
2,2.6438561897747244,21
2,2.6438561897747244,22
2,2.6438561897747244,23
2,2.6438561897747244,24
2,2.0588936890535683,0
2,2.0588936890535683,1
2,2.0588936890535683,2
2,2.0588936890535683,3
2,2.0588936890535683,4
2,2.0588936890535683,5
2,2.0588936890535683,6
2,2.0588936890535683,7
2,2.0588936890535683,8
2,2.0588936890535683,9
2,2.0588936890535683,10
2,2.0588936890535683,11
2,2.0588936890535683,12
2,2.0588936890535683,13
2,2.0588936890535683,14
2,2.0588936890535683,15
2,2.0588936890535683,16
2,2.0588936890535683,17
2,2.0588936890535683,18
2,2.0588936890535683,19
2,2.0588936890535683,20
2,2.0588936890535683,21
2,2.0588936890535683,22
2,2.0588936890535683,23
2,2.0588936890535683,24
2,0.0,0
2,4.643856189774724,1
2,4.643856189774724,2
2,4.643856189774724,3
2,4.643856189774724,4
2,3.6438561897747244,5
2,3.6438561897747244,6
2,3.0588936890535683,7
2,3.0588936890535683,8
2,3.0588936890535683,9
2,3.0588936890535683,10
2,3.0588936890535683,11
2,3.0588936890535683,12
2,3.0588936890535683,13
2,3.0588936890535683,14
2,3.0588936890535683,15
2,3.0588936890535683,16
2,3.0588936890535683,17
2,3.0588936890535683,18
